,mutation,strategy,gems,n_cols,overall_best,overall_best_mean,overall_best_std,test_error_best,test_error_mean,test_error_std,better_gems_total,better_gems_mean,worse_gems_total,worse_gems_mean
23,single_mutation,MatchByActiveStrategy,5,50,-0.6256281407035176,-0.5206030150753769,0.10857062734316701,-0.631578947368421,-0.631578947368421,0.0,0,0.0,0,0.0
24,single_mutation,MatchByActiveStrategy,5,100,-0.6256281407035176,-0.4678391959798995,0.17200873634397776,-0.631578947368421,-0.631578947368421,0.0,0,0.0,0,0.0
25,single_mutation,MatchByActiveStrategy,10,10,-0.6256281407035176,-0.6221105527638191,0.007865565749999269,-0.631578947368421,-0.631578947368421,0.0,0,0.0,0,0.0
26,single_mutation,MatchByActiveStrategy,10,50,-0.6256281407035176,-0.5206030150753769,0.10857062734316701,-0.631578947368421,-0.631578947368421,0.0,0,0.0,0,0.0
27,single_mutation,MatchByActiveStrategy,10,100,-0.6256281407035176,-0.4678391959798995,0.17200873634397776,-0.631578947368421,-0.631578947368421,0.0,0,0.0,0,0.0
28,probabilistic_mutation,MatchSMStrategy,0,10,-0.6256281407035176,-0.6221105527638191,0.007865565749999269,-0.631578947368421,-0.631578947368421,0.0,0,0.0,0,0.0
29,probabilistic_mutation,MatchSMStrategy,0,50,-0.6256281407035176,-0.5206030150753769,0.10857062734316701,-0.631578947368421,-0.631578947368421,0.0,0,0.0,0,0.0
30,probabilistic_mutation,MatchSMStrategy,0,100,-0.6256281407035176,-0.4678391959798995,0.17200873634397776,-0.631578947368421,-0.631578947368421,0.0,0,0.0,0,0.0
31,probabilistic_mutation,MatchSMStrategy,5,10,-0.6256281407035176,-0.6221105527638191,0.007865565749999269,-0.631578947368421,-0.631578947368421,0.0,0,0.0,0,0.0
32,probabilistic_mutation,MatchSMStrategy,5,50,-0.6256281407035176,-0.5206030150753769,0.10857062734316701,-0.631578947368421,-0.631578947368421,0.0,0,0.0,0,0.0
33,probabilistic_mutation,MatchSMStrategy,5,100,-0.6256281407035176,-0.4678391959798995,0.17200873634397776,-0.631578947368421,-0.631578947368421,0.0,0,0.0,0,0.0
34,probabilistic_mutation,MatchSMStrategy,10,10,-0.6256281407035176,-0.6221105527638191,0.007865565749999269,-0.631578947368421,-0.631578947368421,0.0,0,0.0,0,0.0
35,probabilistic_mutation,MatchSMStrategy,10,50,-0.6256281407035176,-0.5206030150753769,0.10857062734316701,-0.631578947368421,-0.631578947368421,0.0,0,0.0,0,0.0
36,probabilistic_mutation,MatchSMStrategy,10,100,-0.6256281407035176,-0.4678391959798995,0.17200873634397776,-0.631578947368421,-0.631578947368421,0.0,0,0.0,0,0.0
37,probabilistic_mutation,MatchByActiveStrategy,0,10,-0.6256281407035176,-0.6221105527638191,0.007865565749999269,-0.631578947368421,-0.631578947368421,0.0,0,0.0,0,0.0
38,probabilistic_mutation,MatchByActiveStrategy,0,50,-0.6256281407035176,-0.5206030150753769,0.10857062734316701,-0.631578947368421,-0.631578947368421,0.0,0,0.0,0,0.0
39,probabilistic_mutation,MatchByActiveStrategy,0,100,-0.6256281407035176,-0.4678391959798995,0.17200873634397776,-0.631578947368421,-0.631578947368421,0.0,0,0.0,0,0.0
40,probabilistic_mutation,MatchByActiveStrategy,5,10,-0.6256281407035176,-0.6221105527638191,0.007865565749999269,-0.631578947368421,-0.631578947368421,0.0,0,0.0,0,0.0
41,probabilistic_mutation,MatchByActiveStrategy,5,50,-0.6256281407035176,-0.5206030150753769,0.10857062734316701,-0.631578947368421,-0.631578947368421,0.0,0,0.0,0,0.0
42,probabilistic_mutation,MatchByActiveStrategy,5,100,-0.6256281407035176,-0.4678391959798995,0.17200873634397776,-0.631578947368421,-0.631578947368421,0.0,0,0.0,0,0.0
43,probabilistic_mutation,MatchByActiveStrategy,10,10,-0.6256281407035176,-0.6221105527638191,0.007865565749999269,-0.631578947368421,-0.631578947368421,0.0,0,0.0,0,0.0
44,probabilistic_mutation,MatchByActiveStrategy,10,50,-0.6256281407035176,-0.5206030150753769,0.10857062734316701,-0.631578947368421,-0.631578947368421,0.0,0,0.0,0,0.0
45,probabilistic_mutation,MatchByActiveStrategy,10,100,-0.6256281407035176,-0.4678391959798995,0.17200873634397776,-0.631578947368421,-0.631578947368421,0.0,0,0.0,0,0.0
